Region,Zone,Woreda,Education,ESNFI,Health,Agriculture,Nutrition,Protection,WASH
Oromia,Horo Gudru Wellega,Jarte Jardega,,FIDO,,,,,WV
Benishangul-Gumuz,Kamashi,Kamashi,,NRC,,,, NRC ,
South Ethiopia,Konso,Karat Zuria,Imagine 1 Day,,IOM,FAO,, PAPDA ,IOM
Somali,Fafan,Kebribeyah,,,,FAO,,,
Somali,Korahe,Kebridehar,OWDA,,,,,,
Somali,Shabelle,Kelafo,OWDA,IOM,OWDA,FAO,,,
South Ethiopia,Wolayita,Kindo Koyesha,,,,SHA,,,
Oromia,East Wellega,Kiremu,,,,,,,FIDO
Amhara,North Wello,Kobo town,,,Humedica e.V,,," FHI 360, Imagine 1 Day ",
Amhara,South Wello,Kombolcha town,,,,,, AWA ,WV
South Ethiopia,Gamo,Kucha,,,,FAO,,,
Oromia,East Hararge,Kumbi,,,"FIDO, IMC, SCI",FAO, FIDO ,,"RHB, RWB, WV"
Benishangul-Gumuz,Assosa,Kurmuk,,,"IOM, MTI",,,,IOM
Amhara,South Wello,Kutaber,,,,,,,ZOA
Somali,Korahe,Lasdhankayre,OWDA,,,,,,
Amhara,North Wello,Lasta,Imagine 1 Day,,SCI,FAO,, Imagine 1 Day ,
Dire Dawa,Dire Dawa urban,Legehare,,,MTI,,,,
Oromia,East Borena,Liben,Imagine 1 Day,,,,," Imagine 1 Day, MC ",
Amhara,South Gondar,Libokemekem,,,,SHA,,,
Sidama,Sidama,Loka Abaya,,,,FAO,,,RHB
South West Ethiopia,West Omo,Maji,,,,,,,RWB
Sidama,Sidama,Malga,,,,,,,RHB
Dire Dawa,Dire Dawa urban,Malka Jabti /M.Jebdu),,,MTI,,,,
Oromia,West Wellega,Mana Sibu,,,ACF,, ACF , ACF ,ACF
Oromia,East Hararge,Maya town,,,,,,,RHB
Oromia,East Borena,Meda Welabu,Imagine 1 Day,,,, GOAL , Imagine 1 Day ,GOAL
Afar,Kilbati /Zone2,Megale,,,,, PI ,,CARE
Oromia,Bale,Mena (Bale),Imagine 1 Day,,,FAO, GOAL , Imagine 1 Day ,GOAL
South West Ethiopia,West Omo,Menit Goldiye,,,,,,,RWB
South West Ethiopia,West Omo,Menit Shasha,,,,,,,RWB
Amhara,West Gondar,Metema,,IOM,MTI,, MTI , ActionAid ,
Somali,Shabelle,Mustahil,,PIADO,OWDA,FAO,,,
Amhara,South Gondar,Nefas Mewicha town,,,,,, AWA ,
Oromia,West Wellega,Nejo,"DEC, Imagine 1 Day",,,,, WU ,SCI
South Ethiopia,South Omo_Pas,Nyngatom,,,,,, WV ,
Tigray,Southern,Ofla,,,,FAO,,,
Somali,Liban,Quarsadula,,,,VSF-S,,,ANE
Somali,Afder,Raso,,,CWW,,,,
Amhara,North Wello,Raya Kobo,,CARE,"GOAL, PI",FAO," GOAL, PI "," CARE, FHI 360, Imagine 1 Day, PI ","AEID, CARE, ZOA"
Oromia,Guji,Saba Boru,Imagine 1 Day,ECC-SADCO,,,,,
Dire Dawa,Dire Dawa urban,Sabian,,IOM,MTI,,,,
Amhara,Wag Hamra,Sahila,,,,FAO,, FHI 360 ,
Afar,Awsi /Zone 1,Samera Logiya town,,,MTI,,,,
Oromia,Kelem Wellega,Sayo,,,ACF,, ACF , DDU ,ACF
Benishangul-Gumuz,Kamashi,Sedal,AEID,,MCMDO,,, OBGTPDO ,
Oromia,Kelem Wellega,Sedi Chenka,,,,,, DDU ,
South Ethiopia,Konso,Segen Zuria,Imagine 1 Day,,,,, PAPDA ,IOM
Amhara,Wag Hamra,Sekota,Imagine 1 Day,CARE,,FAO," ACF, CARE "," ACF, PI ",ACF
Amhara,Wag Hamra,Sekota town,,,,,," ACF, FHI 360 ",
South West Ethiopia,Bench Sheko,Semen Bench,,,,,,,RWB
Oromia,Horo Gudru Wellega,Shambu town,,ECC-SADCO,,,, WU ,
South West Ethiopia,Bench Sheko,Shay Bench,,,,,,,RWB
Somali,Korahe,Shaygosh,OWDA,,,,,,
Sidama,Sidama,Shebe Dino,,,,,,,RHB
Amhara,East Gojam,Shebel Bernta,,,,SHA,,,
